d,N,L,run,test_rel_error,test_abs_error,train_loss,epochs_run,stopping_reason
3,64,1,0,0.006909995834032695,0.011189334551493327,0.00018717434525024145,15000,max_epochs
3,64,1,1,0.006360338568687439,0.01096952986717224,0.00014704330009408296,15000,max_epochs
3,64,1,2,0.009828755140304565,0.01735689854621887,0.0002636524373665452,15000,max_epochs
3,64,2,0,0.00041061587631702423,0.0007964486082394918,9.80999845523911e-07,9141,stopping_threshold
3,64,2,1,0.0004513954284290473,0.0007616870800654093,9.663375403761165e-07,5759,stopping_threshold
3,64,2,2,0.00036584931115309397,0.0007066116134325664,9.99309430426365e-07,5114,stopping_threshold
3,64,3,0,0.0003664968758821487,0.000707620124022166,8.808793877506105e-07,6376,stopping_threshold
3,64,3,1,0.00039432555437088015,0.0007066502372423808,9.598192013982044e-07,7938,stopping_threshold
3,64,3,2,0.0005241456478834153,0.0010410115520159404,9.550539334668429e-07,5407,stopping_threshold
3,64,4,0,0.0006466940393050511,0.0012053280075391133,8.830161877995124e-07,14419,stopping_threshold
3,64,4,1,0.0004944242313504219,0.0008460918664932251,9.547616837153328e-07,9198,stopping_threshold
3,64,4,2,0.0005251849616567293,0.0010006736516952515,9.625027796573703e-07,6507,stopping_threshold
3,64,8,0,0.00042797548820575076,0.0008138167858123779,9.826642776715743e-07,6430,stopping_threshold
3,64,8,1,0.0029400893648465474,0.006510045369466146,9.53954461729154e-05,15000,max_epochs
3,64,8,2,0.0005509630019466083,0.0010461106499036154,9.87510480626952e-07,6262,stopping_threshold
3,128,1,0,0.007731440742810567,0.013796947797139485,0.0001776014652568847,15000,max_epochs
3,128,1,1,0.007445607503255208,0.013665576537450154,0.00020708224049303681,15000,max_epochs
3,128,1,2,0.0061901582876841225,0.010122585614522298,0.00012948690121993424,15000,max_epochs
3,128,2,0,0.0004697318747639656,0.0008196990688641866,9.919203548633958e-07,5569,stopping_threshold
3,128,2,1,0.000519705685476462,0.0008144501447677612,9.402466048413771e-07,6317,stopping_threshold
3,128,2,2,0.0005438092326124509,0.000868195374806722,9.97465293494315e-07,4951,stopping_threshold
3,128,3,0,0.0004439955726265907,0.0008420591553052266,8.758751259847486e-07,5375,stopping_threshold
3,128,3,1,0.0004646627182761828,0.0008265372514724732,9.86709722383239e-07,7961,stopping_threshold
3,128,3,2,0.00044140495359897615,0.0007840233246485392,9.526798971819517e-07,6711,stopping_threshold
3,128,4,0,0.0004572755992412567,0.0008261421124140421,9.939564306478132e-07,7158,stopping_threshold
3,128,4,1,0.0004967998216549556,0.0008601087927818298,9.82486957582296e-07,7009,stopping_threshold
3,128,4,2,0.00043064361065626143,0.0007725885113080343,7.716899172010017e-07,9601,stopping_threshold
3,128,8,0,0.0004919529532392819,0.0009032752911249796,9.83083942628582e-07,6211,stopping_threshold
3,128,8,1,0.0004137467270096143,0.0007483895023663839,8.919102851905336e-07,12585,stopping_threshold
3,128,8,2,0.00044526890168587366,0.0007828903794288635,9.482254572503734e-07,8446,stopping_threshold
3,256,1,0,0.006357986688613892,0.01012842583656311,0.00012250041251536458,15000,max_epochs
3,256,1,1,0.0064551922082901,0.0112512313524882,0.00015520683070644736,15000,max_epochs
3,256,1,2,0.013123762448628744,0.02578685776392619,0.0006961731370538473,15000,max_epochs
3,256,2,0,0.00035814220706621805,0.0007102640668551128,9.632574292481876e-07,5062,stopping_threshold
3,256,2,1,0.0004309042990207672,0.0007732879320780437,9.690646984381602e-07,5626,stopping_threshold
3,256,2,2,0.0005568075329065323,0.0010646580656369527,9.937410586644545e-07,5360,stopping_threshold
3,256,3,0,0.00045274330178896586,0.0008104355533917745,8.395605268560757e-07,4882,stopping_threshold
3,256,3,1,0.000565438653031985,0.0010419071118036906,7.394365379695955e-07,9290,stopping_threshold
3,256,3,2,0.00041811197996139527,0.0007744507590929667,8.659006357447652e-07,6319,stopping_threshold
3,256,4,0,0.0004618965511520704,0.0008025167783101399,9.034386584971799e-07,9331,stopping_threshold
3,256,4,1,0.0004496380239725113,0.0008317514459292094,9.202559026562085e-07,6410,stopping_threshold
3,256,4,2,0.00039140735814968745,0.0006957468787829081,8.006998968994594e-07,6056,stopping_threshold
3,256,8,0,0.0004854522595802943,0.0009117631713549296,9.792343726076068e-07,5240,stopping_threshold
3,256,8,1,0.00045269788304964703,0.0008313425183296203,9.924263176799287e-07,11398,stopping_threshold
3,256,8,2,0.00038423926134904227,0.0007213758627573649,9.87723573416588e-07,8372,stopping_threshold
3,1024,1,0,0.005867856899897258,0.009642947435379029,0.00013241803110577166,15000,max_epochs
3,1024,1,1,0.005726567208766937,0.009707879066467286,0.00012900449603330344,15000,max_epochs
3,1024,1,2,0.008803626616795858,0.016121126333872478,0.0002549304042477161,15000,max_epochs
3,1024,2,0,0.0004284906908869743,0.0007903225421905518,9.450859156459046e-07,5559,stopping_threshold
3,1024,2,1,0.000403602493306001,0.0007424286802609762,9.862713859547512e-07,7263,stopping_threshold
3,1024,2,2,0.00035606474926074347,0.0006703653335571289,7.025175109447446e-07,7246,stopping_threshold
3,1024,3,0,0.0004892437184850375,0.000857684592405955,9.501310023551923e-07,3922,stopping_threshold
3,1024,3,1,0.0004152000720302264,0.0007317870855331421,9.830212729866617e-07,5086,stopping_threshold
3,1024,3,2,0.0003431230758627256,0.0006773894429206849,9.855775865617033e-07,8048,stopping_threshold
3,1024,4,0,0.0005304907038807869,0.0008835658629735311,9.962010608433046e-07,5968,stopping_threshold
3,1024,4,1,0.0004656236469745636,0.0008408910632133484,9.8441477985034e-07,9050,stopping_threshold
3,1024,4,2,0.00040503566960493724,0.000786674439907074,9.94568727492151e-07,7469,stopping_threshold
3,1024,8,0,0.0004371805985768636,0.0007645075917243957,9.493771672168805e-07,8198,stopping_threshold
3,1024,8,1,0.0005081892187396686,0.0008994503617286682,9.879546641968773e-07,11116,stopping_threshold
3,1024,8,2,0.0044564675092697145,0.008460746725400288,6.906733667710795e-05,15000,max_epochs
