skew_weight,d,N,L,run,test_rel_error,test_abs_error,train_loss,epochs_run,stopping_reason
0.0,3,64,1,0,0.006909995834032695,0.011189334551493327,0.00018717434525024145,15000,max_epochs
0.0,3,64,1,1,0.006360338568687439,0.01096952986717224,0.00014704330009408296,15000,max_epochs
0.0,3,64,1,2,0.009828755140304565,0.01735689854621887,0.0002636524373665452,15000,max_epochs
0.0,3,64,2,0,0.00041061587631702423,0.0007964486082394918,9.80999845523911e-07,9141,stopping_threshold
0.0,3,64,2,1,0.0004513954284290473,0.0007616870800654093,9.663375403761165e-07,5759,stopping_threshold
0.0,3,64,2,2,0.00036584931115309397,0.0007066116134325664,9.99309430426365e-07,5114,stopping_threshold
0.0,3,64,3,0,0.0003664968758821487,0.000707620124022166,8.808793877506105e-07,6376,stopping_threshold
0.0,3,64,3,1,0.00039432555437088015,0.0007066502372423808,9.598192013982044e-07,7938,stopping_threshold
0.0,3,64,3,2,0.0005241456478834153,0.0010410115520159404,9.550539334668429e-07,5407,stopping_threshold
0.0,3,64,4,0,0.0006466940393050511,0.0012053280075391133,8.830161877995124e-07,14419,stopping_threshold
0.0,3,64,4,1,0.0004944242313504219,0.0008460918664932251,9.547616837153328e-07,9198,stopping_threshold
0.0,3,64,4,2,0.0005251849616567293,0.0010006736516952515,9.625027796573703e-07,6507,stopping_threshold
0.0,3,64,8,0,0.00042797548820575076,0.0008138167858123779,9.826642776715743e-07,6430,stopping_threshold
0.0,3,64,8,1,0.0029400893648465474,0.006510045369466146,9.53954461729154e-05,15000,max_epochs
0.0,3,64,8,2,0.0005509630019466083,0.0010461106499036154,9.87510480626952e-07,6262,stopping_threshold
0.0,3,128,1,0,0.007731440742810567,0.013796947797139485,0.0001776014652568847,15000,max_epochs
0.0,3,128,1,1,0.007445607503255208,0.013665576537450154,0.00020708224049303681,15000,max_epochs
0.0,3,128,1,2,0.0061901582876841225,0.010122585614522298,0.00012948690121993424,15000,max_epochs
0.0,3,128,2,0,0.0004697318747639656,0.0008196990688641866,9.919203548633958e-07,5569,stopping_threshold
0.0,3,128,2,1,0.000519705685476462,0.0008144501447677612,9.402466048413771e-07,6317,stopping_threshold
0.0,3,128,2,2,0.0005438092326124509,0.000868195374806722,9.97465293494315e-07,4951,stopping_threshold
0.0,3,128,3,0,0.0004439955726265907,0.0008420591553052266,8.758751259847486e-07,5375,stopping_threshold
0.0,3,128,3,1,0.0004646627182761828,0.0008265372514724732,9.86709722383239e-07,7961,stopping_threshold
0.0,3,128,3,2,0.00044140495359897615,0.0007840233246485392,9.526798971819517e-07,6711,stopping_threshold
0.0,3,128,4,0,0.0004572755992412567,0.0008261421124140421,9.939564306478132e-07,7158,stopping_threshold
0.0,3,128,4,1,0.0004967998216549556,0.0008601087927818298,9.82486957582296e-07,7009,stopping_threshold
