config,n_free,N,num_points,L,run,seed,train_data_seed,test_data_seed,test_rel_error,test_abs_error,test_loss,train_loss,epochs_run,stopping_reason,train_time
mu,1,16,5,1,0,100,200,300,0.00580757874250412,0.010073124885559082,0.00014092796482145786,0.00022217906371224672,2000,max_epochs,2.8852314350078814
mu,1,16,5,1,1,101,201,301,0.0022359076887369157,0.003817765772342682,2.5954563170671463e-05,9.959134104065015e-07,260,stopping_threshold,0.3478375519916881
mu,1,16,5,1,2,102,202,302,0.0020059328973293304,0.0034348652064800263,2.0668255863711236e-05,1.5068204675117158e-06,2000,max_epochs,2.667177893978078
mu,1,16,5,1,3,103,203,303,0.015760557770729065,0.030908589124679565,0.0010698820278048516,0.004181015305221081,2000,max_epochs,2.6088399559957907
mu,1,16,5,1,4,104,204,304,0.01787094807624817,0.022070218324661255,0.0018602186739444732,9.989224736273172e-07,855,stopping_threshold,1.136885173007613
mu,1,16,5,1,5,105,205,305,0.002134348452091217,0.0034230999648571015,2.2522746119648218e-05,9.958994269254617e-07,308,stopping_threshold,0.41146553301950917
mu,1,16,5,1,6,106,206,306,0.00768062835931778,0.009943033218383789,0.00032312122732400895,6.399206085916376e-06,2000,max_epochs,2.6190580030088313
mu,1,16,5,2,0,100,200,300,0.008892510771751403,0.01730473875999451,0.0003685774095356464,9.861023136181757e-05,2000,max_epochs,2.5259116739907768
mu,1,16,5,2,1,101,201,301,0.0020308619290590286,0.003420805871486664,2.2535130847245453e-05,9.895935590975569e-07,344,stopping_threshold,0.4353998980077449
mu,1,16,5,2,2,102,202,302,0.004301009029150009,0.006278271436691284,8.897276408970357e-05,9.993084404413821e-07,198,stopping_threshold,0.2516635379870422
mu,1,16,5,2,3,103,203,303,0.006326986491680145,0.00830880355834961,0.00027978092804551124,8.924356734496541e-06,2000,max_epochs,2.530980208015535
mu,1,16,5,2,4,104,204,304,0.017624984860420228,0.021796457529067993,0.0017910817712545395,9.849924254012876e-07,421,stopping_threshold,0.5339176889974624
mu,1,16,5,2,5,105,205,305,0.0022738949954509736,0.0036798740923404696,2.4964849231764673e-05,9.99924736788671e-07,958,stopping_threshold,1.2144653809955344
mu,1,16,5,2,6,106,206,306,0.0034628880620002746,0.005310936152935028,5.8044808451086284e-05,2.7995899927191203e-06,2000,max_epochs,2.531056694977451
mu,1,16,5,3,0,100,200,300,0.005187342703342437,0.010041250467300415,0.00017044467572122811,3.107047859884915e-06,2000,max_epochs,2.5313146090193186
mu,1,16,5,3,1,101,201,301,0.002025915861129761,0.003444747805595398,2.2392646642401814e-05,9.940393965734984e-07,252,stopping_threshold,0.3202526989916805
mu,1,16,5,3,2,102,202,302,0.0022338949143886565,0.0038222867250442506,2.4640253046527506e-05,9.969384109353996e-07,353,stopping_threshold,0.44824800599599257
mu,1,16,5,3,3,103,203,303,0.0029196107685565947,0.004425692617893219,4.439083952456713e-05,1.8839282347471453e-05,2000,max_epochs,2.5456932479864918
mu,1,16,5,3,4,104,204,304,0.018502519011497496,0.02291593337059021,0.0019548043310642243,9.987768407881958e-07,1004,stopping_threshold,1.27479473099811
mu,1,16,5,3,5,105,205,305,0.0018597865849733352,0.003195208668708801,1.810799934901297e-05,9.88489205155929e-07,216,stopping_threshold,0.27412578399525955
mu,1,16,5,3,6,106,206,306,0.0027235807478427887,0.0041792520880699156,3.396739368326962e-05,8.672056537761819e-06,2000,max_epochs,2.5399275950039737
mu,1,16,5,4,0,100,200,300,0.004709722995758056,0.008255893349647521,0.00011220076959580183,5.131358648213791e-06,2000,max_epochs,2.5811781759839505
