config,d,N,L,run,test_rel_error,test_abs_error,train_loss,epochs_run,stopping_reason
const,0,128,0,0,0.0104414228995641,0.020986001809438,0.0007104772739112,8000,max_epochs
const,0,128,0,1,0.0102982359727223,0.0207049845854441,0.0006851306566968,8000,max_epochs
const,0,128,0,2,0.0104316101074218,0.0209864517847696,0.0006704282695427,8000,max_epochs
const,0,128,1,0,0.000386378104488,0.0007762328386306,9.935761636370443e-07,379,stopping_threshold
const,0,128,1,1,0.0003904386858145,0.0007856172720591,9.659131728767533e-07,609,stopping_threshold
const,0,128,1,2,0.0003365279088417,0.000675311088562,9.959830858861096e-07,434,stopping_threshold
const,0,128,2,0,0.00037888665994,0.0007622285683949,9.923680072461138e-07,542,stopping_threshold
const,0,128,2,1,0.0004735399360458,0.0009565682013829,9.929349726007783e-07,415,stopping_threshold
const,0,128,2,2,0.0003869436457753,0.0007791315317153,9.94619414996123e-07,431,stopping_threshold
const,0,128,3,0,0.0003641092379887,0.0007326547304789,9.54682958763442e-07,246,stopping_threshold
const,0,128,3,1,0.0003979912797609,0.0008026935259501,9.689061016615596e-07,457,stopping_threshold
const,0,128,3,2,0.0003830863460898,0.0007716536124547,9.870501580735435e-07,435,stopping_threshold
const,0,128,4,0,0.0004052850206693,0.0008149362802505,9.910064782161498e-07,324,stopping_threshold
const,0,128,4,1,0.0004073369180162,0.0008207195599873,9.965525396182784e-07,548,stopping_threshold
const,0,128,4,2,0.0003813758641481,0.0007682799100875,8.754260397836333e-07,2607,stopping_threshold
const,0,128,8,0,0.0003977106710275,0.0007988911867141,9.98821447865339e-07,2725,stopping_threshold
const,0,128,8,1,0.0004002231930692,0.0008052620093027,9.983022710002843e-07,713,stopping_threshold
const,0,128,8,2,0.0003921102111538,0.0007898576259613,9.896327446767827e-07,379,stopping_threshold
const,0,1024,0,0,0.0036013781428337,0.0072450354894002,8.617127873003483e-05,8000,max_epochs
const,0,1024,0,1,0.0037328184843063,0.0075083419879277,8.702984993578866e-05,8000,max_epochs
const,0,1024,0,2,0.0035974775354067,0.0072337815364201,8.39405240258202e-05,8000,max_epochs
const,0,1024,1,0,0.000403648669521,0.0008112159967422,9.97628941149742e-07,569,stopping_threshold
const,0,1024,1,1,0.0004058432057499,0.000815729022026,9.992024624807528e-07,2497,stopping_threshold
const,0,1024,1,2,0.0003625676756103,0.0007291570107142,8.809404566818557e-07,1040,stopping_threshold
const,0,1024,2,0,0.0003874362185597,0.0007792049249013,9.99843695353775e-07,1764,stopping_threshold
const,0,1024,2,1,0.0004039827982584,0.0008123222589492,9.974374288503895e-07,1934,stopping_threshold
const,0,1024,2,2,0.0003744244699676,0.0007533988157908,9.199172718581394e-07,2450,stopping_threshold
const,0,1024,3,0,0.0003899039700627,0.0007847436666488,9.951041665772209e-07,459,stopping_threshold
const,0,1024,3,1,0.0004050310676296,0.000814007282257,9.837552729550226e-07,1406,stopping_threshold
const,0,1024,3,2,0.0004915835460027,0.0009861950874328,9.699089732748688e-07,2287,stopping_threshold
const,0,1024,4,0,0.0004100663438439,0.0008260838190714,9.67544412560528e-07,701,stopping_threshold
const,0,1024,4,1,0.0004031104048093,0.0008104968070983,9.965050826394871e-07,3382,stopping_threshold
const,0,1024,4,2,0.0004209318434198,0.0008453072706858,9.955445716514078e-07,2130,stopping_threshold
const,0,1024,8,0,0.000389782761534,0.0007843475739161,9.997087090596325e-07,1596,stopping_threshold
const,0,1024,8,1,0.0004042357032497,0.000812773267428,9.984329853978124e-07,2514,stopping_threshold
const,0,1024,8,2,0.0003868902946511,0.0007785923480987,9.575965341355186e-07,1748,stopping_threshold
mu,1,128,0,0,0.2850141906738281,0.5003247731526693,0.3360205559730529,8000,max_epochs
mu,1,128,0,1,0.288291316986084,0.5053976008097331,0.3379090440273284,8000,max_epochs
mu,1,128,0,2,0.2884483273824056,0.501516835530599,0.3143658628463745,8000,max_epochs
mu,1,128,1,0,0.0007239841520786,0.0012283023794492,2.3376462850137613e-06,8000,max_epochs
mu,1,128,1,1,0.0007002304842074,0.0011988799969355,2.483230126017588e-06,8000,max_epochs
mu,1,128,1,2,0.0013948205510775,0.0027091710567474,1.0721702259615996e-05,8000,max_epochs
mu,1,128,2,0,0.0008005213265617,0.0013999227086702,2.8237918759259627e-06,8000,max_epochs
mu,1,128,2,1,0.0008626575320959,0.0015889676213264,4.246208909535199e-06,8000,max_epochs
mu,1,128,2,2,0.0019807806412378,0.0040205387274424,9.218023289577104e-06,8000,max_epochs
mu,1,128,3,0,0.000715105416874,0.0012036755681037,2.4497942795278505e-06,8000,max_epochs
mu,1,128,3,1,0.0007021373584866,0.0011947783231735,2.313972698175348e-06,8000,max_epochs
mu,1,128,3,2,0.0024540142814318,0.0048769636948903,2.7793504457804376e-05,8000,max_epochs
mu,1,128,4,0,0.001538723707199,0.002888612806797,1.2106008987757376e-05,8000,max_epochs
mu,1,128,4,1,0.002171971698602,0.0043745559453964,2.6295512157958e-05,8000,max_epochs
mu,1,128,4,2,0.0020802638928095,0.0042227212190628,1.7709628198645076e-05,8000,max_epochs
